id,name,brand,model,price_inr,price_segment,cpu,cpu_generation,ram_gb,ram_upgradeable,storage,storage_upgradeable,gpu,gpu_type,screen_size,screen_resolution,display_type,refresh_rate,battery_wh,estimated_battery_score,weight_kg,estimated_portability_score,gaming_score,future_proof_score,ai_ml_score,coding_score,mba_score,marketing_score,design_score,mechanical_score,civil_score,electronics_score,best_for,pros,cons,india_availability,purchase_links,last_verified_date,major_fit,community_sentiment
38,Acer Aspire Lite (Ryzen 5),Acer,Aspire Lite (Ryzen 5),37990,Budget,AMD Ryzen 5 5500U,Ryzen 5000,16,true,512 GB SSD,true,AMD Radeon Graphics,Integrated,15.6,1920x1080 FHD,IPS,60,40,5.6,1.59,6.5,3.6,5.6,3.8,6.0,6.1,6.5,5.6,4.8,4.7,5.3,marketing & media,16GB; bundled Office; great value,Old-gen CPU; basic display,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+Lite+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+Lite+laptop,2026-06-15,Humanities,Average
39,Acer Aspire Lite (i3 16GB),Acer,Aspire Lite (i3 16GB),41990,Budget,Intel Core i3-1215U,12th Gen,16,true,512 GB SSD,true,Intel UHD Graphics,Integrated,15.6,1920x1080 FHD,IPS,60,40,5.6,1.59,6.5,3.2,5.6,3.6,5.8,6.1,6.5,5.4,4.3,4.0,4.8,marketing & media,16GB at a low price; upgradeable,Older CPU; basic display,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+Lite+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+Lite+laptop,2026-06-15,Humanities,Poor
40,Acer Aspire 7 (RTX2050),Acer,Aspire 7 (RTX2050),54990,Mid Range,AMD Ryzen 5 7535HS,Ryzen 7035,16,true,512 GB SSD,true,NVIDIA GeForce RTX 2050,Dedicated,15.6,1920x1080 FHD,IPS,144,50,4.8,2.1,4.3,5.7,5.8,5.9,6.4,5.4,5.8,6.4,6.0,6.2,6.4,"everyday use, browsing & office work",Entry dGPU; 144Hz; 16GB; value all-rounder,Weak GPU; average battery; plasticky,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+7+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+7+laptop,2026-06-15,Humanities,Average
41,Acer Aspire 5 (i5),Acer,Aspire 5 (i5),57990,Mid Range,Intel Core i5-1334U,13th Gen,16,true,512 GB SSD,true,Intel Iris Xe,Integrated,15.6,1920x1080 FHD,IPS,60,50,7.0,1.75,6.3,3.8,6.0,3.9,6.7,6.8,6.9,5.7,5.0,5.0,5.6,"marketing & media, MBA & business, programming & development",16GB; reliable everyday; upgradeable,U-series CPU; no dGPU,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+5+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+5+laptop,2026-06-15,Humanities,Average
42,Acer Aspire 7 (RTX3050),Acer,Aspire 7 (RTX3050),61990,Mid Range,Intel Core i5-13420H,13th Gen,16,true,512 GB SSD,true,NVIDIA GeForce RTX 3050,Dedicated,15.6,1920x1080 FHD,IPS,60,50,4.8,2.1,4.3,5.0,6.3,5.7,6.2,5.4,5.6,6.5,6.0,6.1,6.3,design & creative work,dGPU on a budget; CUDA; upgradeable,Heavy; 60Hz; entry GPU,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+7+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+7+laptop,2026-06-15,Humanities,Average
43,Acer Nitro V 15 (RTX3050),Acer,Nitro V 15 (RTX3050),64990,Mid Range,Intel Core i5-13420H,13th Gen,16,true,512 GB SSD,true,NVIDIA GeForce RTX 3050,Dedicated,15.6,1920x1080 FHD,IPS,144,57,3.2,2.1,3.7,6.6,6.3,5.7,6.0,3.7,5.1,6.6,6.0,6.1,6.3,"gaming, design & creative work",Budget gaming; CUDA; 144Hz; upgradeable,Heavy; entry GPU; battery,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Nitro+V+15+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Nitro+V+15+laptop,2026-06-15,Humanities,Good
44,Acer Aspire 5 (Ultra5),Acer,Aspire 5 (Ultra5),67990,Mid Range,Intel Core Ultra 5 125H,Core Ultra Series 1,16,true,512 GB SSD,true,Intel Arc Graphics,Integrated,15.6,1920x1200 WUXGA,IPS,60,50,7.0,1.75,6.3,4.2,6.6,4.3,7.1,6.8,6.9,5.9,5.8,6.0,6.3,"programming & development, marketing & media, MBA & business",Arc iGPU; 16GB; upgradeable; good value,No OLED; no dGPU,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+5+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+5+laptop,2026-06-15,Computer Science,Average
45,Acer Swift Go 14 (Ultra5 OLED),Acer,Swift Go 14 (Ultra5 OLED),69990,Mid Range,Intel Core Ultra 5 125H,Core Ultra Series 1,16,false,512 GB SSD,true,Intel Arc Graphics,Integrated,14.0,2880x1800 2.8K,OLED,90,65,7.8,1.32,7.8,4.6,6.2,4.3,7.4,7.9,8.7,7.6,5.8,6.0,6.3,"marketing & media, MBA & business, design & creative work",OLED at a great price; light; strong CPU,Soldered RAM; no dGPU,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Swift+Go+14+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Swift+Go+14+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
46,Acer Aspire 5 Spin 14,Acer,Aspire 5 Spin 14,74990,Mid Range,Intel Core Ultra 5 125H,Core Ultra Series 1,16,true,512 GB SSD,true,Intel Arc Graphics,Integrated,14.0,1920x1200 WUXGA,IPS (Touch),60,50,7.0,1.6,7.0,4.2,6.6,4.3,7.2,7.5,7.1,5.9,5.8,6.0,6.3,"MBA & business, programming & development, marketing & media",Convertible; touch + pen; upgradeable,No OLED; no dGPU,Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+5+Spin+14+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+5+Spin+14+laptop,2026-06-15,Computer Science; MBA; Marketing; Medical; Finance; Humanities,Good
47,Acer Nitro V 15 (RTX4050),Acer,Nitro V 15 (RTX4050),84990,Upper Mid,Intel Core i7-13620H,13th Gen,16,true,1 TB SSD,true,NVIDIA GeForce RTX 4050,Dedicated,15.6,1920x1080 FHD,IPS,144,57,3.2,2.1,3.7,7.1,7.0,6.7,6.3,3.7,5.1,6.9,6.7,6.9,6.9,"gaming, design & creative work, civil engineering (AutoCAD)",RTX 4050; strong CPU; CUDA; upgradeable,Heavy; FHD only; battery,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Nitro+V+15+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Nitro+V+15+laptop,2026-06-15,Humanities,Good
48,Acer Swift Go 14 (Ultra7 OLED),Acer,Swift Go 14 (Ultra7 OLED),87990,Upper Mid,Intel Core Ultra 7 155H,Core Ultra Series 1,16,false,1 TB SSD,true,Intel Arc Graphics,Integrated,14.0,2880x1800 2.8K,OLED,90,65,7.8,1.32,7.8,4.6,6.2,4.5,7.6,7.9,8.7,7.6,6.0,6.4,6.6,"marketing & media, MBA & business, programming & development",OLED; strong CPU; 1TB; light,Soldered RAM; no dGPU,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Swift+Go+14+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Swift+Go+14+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
49,Acer Nitro V 16 (RTX5050),Acer,Nitro V 16 (RTX5050),89990,Upper Mid,AMD Ryzen 7 260,Ryzen 200,16,true,512 GB SSD,true,NVIDIA GeForce RTX 5050,Dedicated,16.0,1920x1200 WUXGA,IPS,165,70,4.0,2.3,4.0,7.5,8.6,7.7,6.8,4.0,5.4,7.1,7.2,7.6,7.4,"AI/ML & deep learning, civil engineering (AutoCAD), gaming",165Hz WUXGA; RTX5050; upgradeable; value,Heavy; plain design; average battery,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Nitro+V+16+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Nitro+V+16+laptop,2026-06-15,AI/ML; Mechanical; Civil; Electronics; Design,Excellent
50,Acer Swift Go 16 OLED (Ultra7),Acer,Swift Go 16 OLED (Ultra7),94990,Upper Mid,Intel Core Ultra 7 155H,Core Ultra Series 1,16,false,1 TB SSD,true,Intel Arc Graphics,Integrated,16.0,3200x2000 3.2K,OLED,120,70,8.6,1.6,7.6,4.8,6.2,4.5,7.8,8.1,8.8,7.6,6.0,6.4,6.6,"marketing & media, MBA & business, programming & development",3.2K OLED 120Hz; 1TB; light for 16-inch,Soldered RAM; no dGPU,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Swift+Go+16+OLED+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Swift+Go+16+OLED+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
51,Acer Nitro V 16 (i7 RTX5050),Acer,Nitro V 16 (i7 RTX5050),97990,Upper Mid,Intel Core i7-14650HX,14th Gen,16,true,1 TB SSD,true,NVIDIA GeForce RTX 5050,Dedicated,16.0,1920x1200 WUXGA,IPS,165,90,5.6,2.1,4.6,7.5,8.1,7.7,7.2,4.7,6.1,7.1,7.2,7.6,7.4,"AI/ML & deep learning, civil engineering (AutoCAD), gaming",RTX 5050; strong HX CPU; CUDA,Heavy; FHD+ only; battery,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Nitro+V+16+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Nitro+V+16+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
52,Acer Nitro V 16 (RTX4060),Acer,Nitro V 16 (RTX4060),104990,Upper Mid,AMD Ryzen 7 8845HS,Ryzen 8040,16,true,1 TB SSD,true,NVIDIA GeForce RTX 4060,Dedicated,16.0,1920x1200 WUXGA,IPS,165,90,5.6,2.1,4.6,7.9,7.6,7.6,7.1,4.7,6.1,7.3,7.4,7.8,7.5,"gaming, civil engineering (AutoCAD), AI/ML & deep learning",RTX 4060; 165Hz; CUDA; upgradeable,Heavy; FHD+ only; battery,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Nitro+V+16+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Nitro+V+16+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
53,Acer Swift 14 AI (Snapdragon),Acer,Swift 14 AI (Snapdragon),109990,Upper Mid,Snapdragon X Elite,Snapdragon X,16,false,1 TB SSD,true,Qualcomm Adreno,Integrated,14.0,2560x1600 WQXGA,IPS,120,75,10.0,1.32,8.6,4.7,6.7,4.4,8.3,9.2,8.9,6.2,5.7,6.1,6.5,"MBA & business, marketing & media, programming & development",Great battery; cool/quiet; Copilot+,ARM compatibility; no dGPU,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Swift+14+AI+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Swift+14+AI+laptop,2026-06-15,Computer Science; MBA; Marketing; Medical; Finance; Humanities,Excellent
54,Acer Swift X 14 OLED (RTX4050),Acer,Swift X 14 OLED (RTX4050),109990,Upper Mid,AMD Ryzen 7 8845HS,Ryzen 8040,16,true,1 TB SSD,true,NVIDIA GeForce RTX 4050,Dedicated,14.5,2880x1800 2.8K,OLED,90,76,4.8,1.6,6.2,6.4,7.6,6.9,7.0,6.6,7.3,8.5,7.0,7.4,7.3,"design & creative work, civil engineering (AutoCAD), electronics & simulation",Creator value; OLED; RTX 4050; CUDA; upgradeable,Soldered VRAM tier; warm under load,Available,Amazon: https://www.amazon.in/s?k=Acer+Swift+X+14+OLED+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Swift+X+14+OLED+laptop,2026-06-15,Computer Science; Mechanical; Civil; Electronics; Marketing; Design,Excellent
55,Acer Predator Helios Neo 16 (RTX4060),Acer,Predator Helios Neo 16 (RTX4060),114990,Upper Mid,Intel Core i7-14650HX,14th Gen,16,true,1 TB SSD,true,NVIDIA GeForce RTX 4060,Dedicated,16.0,2560x1600 WQXGA,IPS,165,90,5.6,2.6,3.9,7.9,7.6,7.7,7.2,4.4,6.2,7.6,7.5,7.9,7.6,"gaming, civil engineering (AutoCAD), AI/ML & deep learning",QHD+ 165Hz; RTX 4060; CUDA; upgradeable,Heavy; battery; bulky,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Predator+Helios+Neo+16+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Predator+Helios+Neo+16+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
56,Acer Nitro V 16 (Ryzen RTX5060),Acer,Nitro V 16 (Ryzen RTX5060),119990,Upper Mid,AMD Ryzen 7 260,Ryzen 200,16,true,1 TB SSD,true,NVIDIA GeForce RTX 5060,Dedicated,16.0,2560x1600 WQXGA,IPS,165,90,5.6,2.1,4.6,8.1,8.6,7.7,7.2,4.7,6.4,7.7,7.6,8.0,7.6,"gaming, civil engineering (AutoCAD), AI/ML & deep learning",QHD 165Hz; RTX 5060; CUDA; upgradeable,Heavy; battery; gamer look,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Nitro+V+16+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Nitro+V+16+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
57,Acer Predator Helios Neo 16 (RTX5060),Acer,Predator Helios Neo 16 (RTX5060),144990,Premium,Intel Core i9-14900HX,14th Gen,16,true,1 TB SSD,true,NVIDIA GeForce RTX 5060,Dedicated,16.0,2560x1600 WQXGA,IPS,165,90,5.6,2.6,3.9,8.2,8.1,7.8,7.5,5.0,6.2,7.7,7.8,8.3,7.9,"civil engineering (AutoCAD), gaming, electronics & simulation",i9 + RTX 5060; QHD+ 165Hz; render/AI,Heavy; loud; battery,Available,Amazon: https://www.amazon.in/s?k=Acer+Predator+Helios+Neo+16+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Predator+Helios+Neo+16+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
58,Acer Predator Helios Neo 16 AI (RTX5060),Acer,Predator Helios Neo 16 AI (RTX5060),164990,Premium,Intel Core Ultra 9 275HX,Core Ultra Series 2,16,true,1 TB SSD,true,NVIDIA GeForce RTX 5060,Dedicated,16.0,2560x1600 WQXGA,IPS,240,90,5.6,2.6,3.9,8.3,8.6,7.9,7.5,5.0,6.2,7.7,7.9,8.5,8.1,"civil engineering (AutoCAD), gaming, electronics & simulation",Top CPU; RTX 5060; 240Hz; upgradeable,Heavy; loud; pricey,Available,Amazon: https://www.amazon.in/s?k=Acer+Predator+Helios+Neo+16+AI+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Predator+Helios+Neo+16+AI+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
59,Acer Predator Helios Neo 16 (RTX5070),Acer,Predator Helios Neo 16 (RTX5070),184990,Premium,Intel Core i9-14900HX,14th Gen,16,true,1 TB SSD,true,NVIDIA GeForce RTX 5070,Dedicated,16.0,2560x1600 QHD+,IPS,240,90,5.6,2.7,3.3,8.7,8.1,7.8,7.4,4.2,6.0,8.0,8.1,8.6,8.0,"gaming, civil engineering (AutoCAD), mechanical engineering (CAD/CAE)",RTX5070; QHD+ 240Hz; strong CPU; good cooling,Heavy; loud; mediocre battery,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Predator+Helios+Neo+16+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Predator+Helios+Neo+16+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
60,Acer Predator Helios 16 (RTX5070Ti),Acer,Predator Helios 16 (RTX5070Ti),249990,Premium,Intel Core Ultra 9 275HX,Core Ultra Series 2,32,true,1 TB SSD,true,NVIDIA GeForce RTX 5070 Ti,Dedicated,16.0,2560x1600 WQXGA,Mini-LED,240,90,5.6,2.6,3.9,9.0,9.3,9.2,8.3,5.0,6.2,8.2,9.3,9.2,9.2,"mechanical engineering (CAD/CAE), AI/ML & deep learning, civil engineering (AutoCAD)",Mini-LED 240Hz; RTX 5070 Ti; 32GB; flagship,Heavy; very loud; expensive,Available,Amazon: https://www.amazon.in/s?k=Acer+Predator+Helios+16+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Predator+Helios+16+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
61,"Apple MacBook Air 13 (M2, 8GB)",Apple,"MacBook Air 13 (M2, 8GB)",79990,Upper Mid,Apple M2,Apple M2,8,false,256 GB SSD,false,Apple 8-core GPU,Integrated,13.6,2560x1664 Liquid Retina,IPS,60,52.6,9.3,1.24,8.8,5.1,4.0,4.4,7.2,9.2,8.6,6.9,5.5,6.0,5.7,"MBA & business, marketing & media, programming & development",Silent; excellent battery; premium build; light,8GB unified memory; 256GB; soldered everything,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Air+13+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Air+13+laptop,2026-06-15,Computer Science; MBA; Marketing; Medical; Finance; Humanities,Excellent
62,"Apple MacBook Air 13 (M2, 16GB)",Apple,"MacBook Air 13 (M2, 16GB)",91990,Upper Mid,Apple M2,Apple M2,16,false,256 GB SSD,false,Apple 8-core GPU,Integrated,13.6,2560x1664 Liquid Retina,IPS,60,52.6,9.3,1.24,8.8,5.1,4.8,5.6,8.1,9.2,8.6,6.9,6.2,6.0,6.4,"MBA & business, marketing & media, programming & development",16GB; silent; superb battery; light,256GB only; soldered; no high refresh,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Air+13+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Air+13+laptop,2026-06-15,Computer Science; MBA; Marketing; Medical; Finance; Humanities,Excellent
63,"Apple MacBook Air 13 (M3, 16GB)",Apple,"MacBook Air 13 (M3, 16GB)",99990,Upper Mid,Apple M3,Apple M3,16,false,256 GB SSD,false,Apple 10-core GPU,Integrated,13.6,2560x1664 Liquid Retina,IPS,60,52.6,9.3,1.24,8.8,5.2,5.3,5.8,8.2,9.2,8.6,7.0,6.2,6.0,6.4,"MBA & business, marketing & media, programming & development",Faster M3; great battery; Wi-Fi 6E; light,256GB only; soldered; 60Hz,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Air+13+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Air+13+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
64,"Apple MacBook Air 13 (M5, 16GB)",Apple,"MacBook Air 13 (M5, 16GB)",116990,Upper Mid,Apple M5,Apple M5,16,false,512 GB SSD,false,Apple 10-core GPU,Integrated,13.6,2560x1664 Liquid Retina,IPS,60,53.8,9.3,1.24,8.8,5.2,6.3,6.2,8.4,9.2,8.6,7.3,6.2,6.0,6.4,"MBA & business, marketing & media, programming & development",Newest M5; on-device AI; 512GB base; great battery,Soldered; 60Hz; premium price,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Air+13+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Air+13+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
65,"Apple MacBook Air 13 (M4, 16GB)",Apple,"MacBook Air 13 (M4, 16GB)",119900,Upper Mid,Apple M4,Apple M4,16,false,256 GB SSD,false,Apple 8-core GPU,Integrated,13.6,2560x1664 Liquid Retina,IPS,60,53.8,9.3,1.24,8.8,5.2,5.9,6.1,8.4,9.2,8.6,7.2,6.2,6.0,6.4,"MBA & business, marketing & media, programming & development",M4 speed; excellent battery; great value Mac,256GB only; soldered; 60Hz,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Air+13+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Air+13+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
66,"Apple MacBook Air 15 (M3, 16GB)",Apple,"MacBook Air 15 (M3, 16GB)",124990,Premium,Apple M3,Apple M3,16,false,512 GB SSD,false,Apple 10-core GPU,Integrated,15.3,2880x1864 Liquid Retina,IPS,60,66.5,10.0,1.51,8.1,5.2,5.3,5.8,8.4,9.2,8.8,7.2,6.2,6.0,6.4,"MBA & business, marketing & media, programming & development",Big screen; great battery; six speakers; light,Soldered; 60Hz; pricey,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Air+15+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Air+15+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
67,"Apple MacBook Air 15 (M4, 24GB)",Apple,"MacBook Air 15 (M4, 24GB)",139990,Premium,Apple M4,Apple M4,24,false,512 GB SSD,false,Apple 10-core GPU,Integrated,15.3,2880x1864 Liquid Retina,IPS,60,66.5,10.0,1.51,8.1,5.2,6.4,7.0,9.1,9.2,8.8,7.3,6.2,6.0,6.4,"MBA & business, programming & development, marketing & media",24GB; big screen; superb battery; M4,Soldered; 60Hz; expensive,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Air+15+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Air+15+laptop,2026-06-15,AI/ML; Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
68,"Apple MacBook Pro 14 (M4, 16GB)",Apple,"MacBook Pro 14 (M4, 16GB)",169990,Premium,Apple M4,Apple M4,16,false,512 GB SSD,false,Apple 10-core GPU,Integrated,14.2,3024x1964 Liquid Retina XDR,Mini-LED,120,72.4,10.0,1.55,8.1,5.2,5.9,6.1,8.6,9.2,9.0,8.0,6.2,6.0,6.4,"MBA & business, marketing & media, programming & development",XDR Mini-LED 120Hz; great battery; ProMotion,Soldered; expensive; base M4 not Pro,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Pro+14+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Pro+14+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
69,"Apple MacBook Pro 14 (M5, 16GB)",Apple,"MacBook Pro 14 (M5, 16GB)",169990,Premium,Apple M5,Apple M5,16,false,512 GB SSD,false,Apple 10-core GPU,Integrated,14.2,3024x1964 Liquid Retina XDR,Mini-LED,120,72.4,10.0,1.55,8.1,5.2,6.3,6.2,8.7,9.2,9.0,8.1,6.2,6.0,6.4,"MBA & business, marketing & media, programming & development",Newest M5; XDR 120Hz; strong on-device AI,Soldered; expensive; base chip,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Pro+14+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Pro+14+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
70,"Apple MacBook Pro 14 (M4 Pro, 24GB)",Apple,"MacBook Pro 14 (M4 Pro, 24GB)",214990,Premium,Apple M4 Pro,Apple M4 Pro,24,false,512 GB SSD,false,Apple 16-core GPU,Integrated,14.2,3024x1964 Liquid Retina XDR,Mini-LED,120,72.4,10.0,1.6,8.1,5.2,6.4,7.5,9.2,9.2,9.0,8.6,6.2,6.0,6.4,"programming & development, MBA & business, marketing & media",Pro power; XDR 120Hz; superb for creators/dev,Soldered; expensive,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Pro+14+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Pro+14+laptop,2026-06-15,AI/ML; Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
71,"Apple MacBook Pro 14 (M5 Pro, 24GB)",Apple,"MacBook Pro 14 (M5 Pro, 24GB)",249990,Premium,Apple M5 Pro,Apple M5 Pro,24,false,1 TB SSD,false,Apple 16-core GPU,Integrated,14.2,3024x1964 Liquid Retina XDR,Mini-LED,120,72.4,10.0,1.62,7.4,5.2,6.8,7.6,9.3,8.9,8.8,8.7,6.2,6.0,6.4,"programming & development, MBA & business, marketing & media",M5 Pro; 1TB; XDR 120Hz; creator/dev powerhouse,Soldered; very expensive,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Pro+14+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Pro+14+laptop,2026-06-15,AI/ML; Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Good
72,"Apple MacBook Pro 16 (M4 Pro, 24GB)",Apple,"MacBook Pro 16 (M4 Pro, 24GB)",259990,Premium,Apple M4 Pro,Apple M4 Pro,24,false,512 GB SSD,false,Apple 20-core GPU,Integrated,16.2,3456x2234 Liquid Retina XDR,Mini-LED,120,100,10.0,2.14,6.1,5.2,6.4,7.5,9.2,8.5,8.4,8.6,6.2,6.0,6.4,"programming & development, design & creative work, MBA & business",Big XDR; long battery; superb for heavy creative work,Soldered; heavy; very expensive,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Pro+16+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Pro+16+laptop,2026-06-15,AI/ML; Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Good
73,"Apple MacBook Pro 16 (M4 Max, 36GB)",Apple,"MacBook Pro 16 (M4 Max, 36GB)",359990,Premium,Apple M4 Max,Apple M4 Max,36,false,1 TB SSD,false,Apple 40-core GPU,Integrated,16.2,3456x2234 Liquid Retina XDR,Mini-LED,120,100,10.0,2.15,6.1,5.2,6.7,8.9,9.7,8.5,8.4,9.0,6.2,6.0,6.4,"programming & development, design & creative work, AI/ML & deep learning",Workstation-class; huge GPU; great for ML/video,Soldered; heavy; flagship price,Widely Available,Amazon: https://www.amazon.in/s?k=Apple+MacBook+Pro+16+laptop | Flipkart: https://www.flipkart.com/search?q=Apple+MacBook+Pro+16+laptop,2026-06-15,AI/ML; Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Good
74,Dell Inspiron 15 3520 (i3),Dell,Inspiron 15 3520 (i3),35990,Budget,Intel Core i3-1305U,13th Gen,8,true,512 GB SSD,true,Intel UHD Graphics,Integrated,15.6,1920x1080 FHD,IPS,120,41,5.6,1.66,5.9,4.0,5.2,2.9,4.9,5.9,6.5,5.5,3.3,3.7,3.7,marketing & media,120Hz FHD; upgradeable; affordable,Entry CPU; 8GB to start; plain build,Widely Available,Amazon: https://www.amazon.in/s?k=Dell+Inspiron+15+3520+laptop | Flipkart: https://www.flipkart.com/search?q=Dell+Inspiron+15+3520+laptop,2026-06-15,Humanities,Poor
75,Dell Dell 14 (DC14250),Dell,Dell 14 (DC14250),45990,Mid Range,AMD Ryzen 5 7430U,Ryzen 7030,16,true,512 GB SSD,true,AMD Radeon Graphics,Integrated,14.0,1920x1080 FHD,IPS,60,54,7.0,1.6,7.0,3.6,5.6,3.9,6.5,6.7,7.1,5.6,4.9,4.9,5.5,"marketing & media, MBA & business, programming & development",16GB; portable; upgradeable; good battery,Old-gen CPU; integrated graphics,Widely Available,Amazon: https://www.amazon.in/s?k=Dell+Dell+14+laptop | Flipkart: https://www.flipkart.com/search?q=Dell+Dell+14+laptop,2026-06-15,Marketing,Average
